#iTalenID	sTalenName	sTalenTip	sTalentimage	iType	iBuffer	iValue	iType	iBuffer	iValue	iType	iBuffer	iValue
200	讨价还价	能以较低的价格买入道具	T210003_2	200	3	20						
201	无奸不商	能以较高的价格卖出道具	T100037_2	201	2	20						
202	明察秋毫	容易发现场景上的隐藏物品	T100059_3	202	0	1						
203	潜龙蝶影	敌人警戒的距离降低	T100075_2	203	0	1						
204	大收藏家	可以看见商店隐藏的物品	T200040_3	204	0	1						
205	喜从天降	战斗掉宝的机率增加	T200044_2	205	0	20						
206	天生神童	平时可以帮助全队获得更多的经验	T100075_1	206	0	100	206	2	10			
207	见多识广	平时可以帮助全队获得更多的阅历	T100299_2	207	0	1	207	2	30			
208	神农百草	容易发现场景上的草药	T210003_3	208	0	1						
209	矿石冶炼	容易发现场景上的矿石	T210008_2	209	0	1						
210	毒物探索	容易发现场景上的毒虫	T100033_1	210	0	1						
301	兄弟情深	每有一名队友伤重离场时，获得霸体，下次攻击必定暴击	T210001_1	105	0	500012	105	0	100135			
302	血战到底	第一次伤重离场时，以意志力残存，继续再战	T210002_1	103	0	100136	103	0	100025			
303	隐匿	休息后进入隐匿状态，隐匿状态下攻击必定暴击	T200000_1	100	0	1						
304	遗策点穴	伤重离场时，周遭二格敌人下回合不能行动	T200000_2	102	2	100144						
305	妙手空空	攻击时有概率偷得敌人身上物品，目标血量越低，成功概率越大．	T100059_1	104	70	70						
306	有事先走	血量低于15%必定离场	T100059_2	106	0	15						
307	国色天香	周遭二格男性角色伤害提升	T100011_2	133	2	50						
308	我佛慈悲	攻击后不会造成对方伤重离场，必定留下一条生路	T200038_1	107	0	0						
309	背刺	从背后攻击，必定暴击	T100037_1	110	0	100139						
310	逆境	气血越低，攻击越高	T210007_1	112	0	100						
311	战意	周遭二格敌人越多，攻击越高	T100066_1	114	2	20						
312	玉树临风	周遭二格女性角色伤害提升	T200020_1	134	2	50						
313	反击必暴	反击时必定暴击	T210005_1	118	0	100139						
314	霹雳火	伤重离场时，投掷霹雳雷火弹造成周遭二格敌人损伤气血	T210005_2	102	2	100137	102	2	500004			
315	以眼还眼	被暴击后，下次攻击必定暴击	T200027_1	119	0	100140						
316	老子有钱	每次攻击时有机率耗损队伍财产，洒出金钱镖提升伤害	T200040_1	141	3	200						
317	唯我独尊	我方场上只剩自己时，每次攻击必定暴击	T210002_2	111	0	100139						
318	以眼还眼	被暴击后，下次攻击必定暴击	T210002_3	119	0	100140						
319	天生神童	战斗后获得经验加成	T100075_1	206	0	100	206	2	20			
320	妙手着春	战斗中使用丹药成效提升。我方道具使用冷却时间减少，敌方冷却时间大幅增加	T210003_1	120	2	50	139	1	2	140	0	3
321	越战越勇	攻击造成对方伤重离场后，获得聚气与狂暴状态	T200017_1	132	0	500025	132	0	500035			
322	武器大师	使用武器的队友攻击提升	T210008_1	121	2	80						
323	搏击大师	拳掌指腿的攻击提升	T210004_1	122	2	80						
324	花香四溢	队友内力耗损降低，敌人内力耗损提升	T100419_1	123	3	50	124	2	50			
325	绵里藏针	同伴离场时，获得绵里针状态，恢复气血、减伤并且必定反击	T200016_1	105	0	910183	105	0	500050	125	0	900102
326	神机妙算	我方侠客休息时可回复更多气血与内力	T200022_1	126	2	100	127	2	100			
327	凌波微步	攻击后可再次移动	T200044_1	128	0	0						
328	十香软筋	伤重离场时，施放烟雾让周遭四格敌人内力流失	T210048_1	102	4	100138	102	4	500005			
329	天意难违	伤重离场时，给予攻击者意志消沉三回合	T210006_1	129	0	600056						
330	意乱情迷	伤重离场时，随机让一名敌人暂时陷入混乱状态	T100011_1	130	1	2						
331	吃香喝辣	攻击时有概率食用背包的食物，提升能力	T210009_1	131	0	20						
332	王者风范	周遭二格同伴越多，伤害越高	T100299_1	115	2	20						
333	趁人之危	攻击造成对方伤重离场后，下一次攻击必定暴击	T100089_1	132	0	100154						
334	惺惺相惜	同伴伤重离场时，其他队友会登场帮助	T210001_2	136	0	100						
335	并肩作战	身旁同伴攻击时，有概率一起攻击	T210001_3	137	1	60						
336	锦上添花	我方道具使用冷却时间减少，敌方冷却时间增加	0	139	1	2	140	0	3			
338	嗜酒如命	攻击时有概率饮用背包的酒，提升能力	T210007_2	135	0	20						
339	神偷盗帅	攻击时有概率偷得敌人身上物品，目标血量越低，成功概率越大．	T200040_2	104	80	80						
341	遗策内伤	伤重离场时，造成周遭二格敌人内伤	0	102	2	500000						
342	遗策破甲	伤重离场时，造成周遭二格敌人破甲	0	102	2	500008						
343	遗策目盲	伤重离场时，造成周遭二格敌人目盲	0	102	2	500007						
344	遗策晕眩	伤重离场时，造成周遭二格敌人晕眩	0	102	2	500001						
345	遗策恐惧	伤重离场时，造成周遭二格敌人恐惧	0	102	2	500009						
346	遗策气盾	伤重离场时，让周遭二格友方获得气盾	0	103	2	100143						
347	遗策必暴	伤重离场时，让周遭二格友方获得必定暴击	0	103	2	100140						
348	遗策聚气	伤重离场时，让周遭二格友方恢复气血	0	103	2	100145						
349	遗策归元	伤重离场时，让周遭二格友方获得归元	0	103	2	500026						
350	遗策噬气	伤重离场时，让周遭二格友方获得噬气	0	103	2	500023						
351	意志坚定	不受意乱情迷影响	T210001_5	138	0	0						
352	支持	身旁同伴攻击时，有概率一起攻击	T210001_4	137	1	20						
353	损人利己	每有一名队友伤重离场时，获得气盾，下次攻击必定暴击	T210001_1	105	0	100134	105	0	100135			
